Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,Add Ons,,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
LDAP,Add On - Fees,Freddie Mac Setup,(blank),1050,,
,,LDAP Admin Fee,"This is $2.50 per file per month if the file is reissued at least once in a month. MeridianLink keeps
this for administering the LDAP program.",0,,2.5
,,LDAP Secondary Use Fee,"We calculate this per borrower, so a joint file incurs this cost twice. We pass this along to CRA's
since the bureaus charge them for secondary use. Secondary use billing/reporting is triggered
whenever a customer reissues a file they wouldn't normally have access to using SREISSUE or
OREISSUE for the first time. Note that there is a 3 month lookback period for LDAP billing, even
though in theory the lookback should be for all time. ",0,,12
,,LDAP Technology Fee,"This is $3.50 per Fannie/Freddie reissue. We will also charge $3.50 once for a file if there are no
Fannie/Freddie reissues, but the lender reissued the file at least once. We pass this along to
CRA's since we charge them a fee for a Fannie/Freddie reissue in their system. ",0,,3.5
MeridianLink CreditAPI,Add On - Credit Verification,CreditAPI Credit Attributes,Per individual pricing,0,,0.78
,,Multi-Bureau Credit Report (2 bureaus) -  joint,(blank),0,,1.04
,,Multi-Bureau Credit Report (2 bureaus) - individual,(blank),0,,1.04
,,Multi-Bureau Credit Report (3 bureaus) - individual,(blank),0,,1.04
,,Multi-Bureau Credit Report (3 bureaus) - joint,(blank),0,,1.04
,,Single Bureau Credit Report - individual,(blank),0,,0.25
,,Single Bureau Credit Report - joint,(blank),0,,0.25
,,Upgrade,(blank),0,,0.79
Mortgage Credit Link,Add On - Credit Verification,Business Credit Industry (MCL) Report 2.0 (BCIR2) Tier 1 (5000+ Reports),"(non-aggregate)
< 2,500: $2.06
2,500 - 4,999: $1.03
>= 5,000: $0.52
No charge if no record is found",0,,0.52
,,Business Credit Industry (MCL) Report 2.0 (BCIR2) Tier 2 (2500 - 4999 Reports),(blank),0,,1.03
,,Business Credit Industry (MCL) Report 2.0 (BCIR2) Tier 3 (up to 2499 Reports),(blank),0,,2.06
,,Comparison Report,"(aggregate)
<= 249: $1.03
250 - 499: $0.93
500 - 999: $0.82
1,000 - 2,499: $0.62
2,500 - 4,999: $0.41
5,000 - 9,999: $0.31
10,000 - 24,999: $0.25
25,000 - 49,999: $0.21
>= 50,000: $0.18

Free for support-side users to minimize CRA
costs related to CreditXpert and Repository
Updates",0,,1.03
,,Consumer Credit Reports - Method 2,**Not preferred. Method 2 - $0.26 per infile (calculated in MCL),0,,1.03
,,Consumer Credit Reports - Method 3,Method 3 - $1.03 per report.,0,,1.03
,,Consumer Credit Reports - Method 4,Method 4 - $1.03 for hard inquiry and $0.52 for soft inquiry,0,,1.03
,,Credit Assure,"Pricing is per individual per bureau
CreditXpert products collectively have a $200
monthly minimum.",0,,0.07
,,Credit Optics Score,"We would charge for this, but there is no
standard price since we haven't signed anyone
up for it yet.",0,,
,,Credit Radar,"Pricing is per individual per bureau
CreditXpert products collectively have a $200
monthly minimum",0,,0.22
,,Criminal Record Report,(blank),0,,0.52
,,CX Bundle,"CreditXpert products collectively have a $200
monthly minimum",0,,0.61
,,Eviction Report,(blank),0,,0.52
,,FAMM,Annual fee billed in monthly installments,0,1236,
,,FAMM Email,"""Charge per successful FAMM email when using
the FAMM auto-email feature. CRA's configure if
""""successful"""" means the email is sent without
error, or if the recipient views the disclosure. 
Units 1-5000: $0.26
Units 5001-10000: $0.21
Units 10001-20000: $0.15
Units 20001+: $0.10""",0,,0.26
,,LexisNexis Liens and Judgements,Standalone or credit report add-on,0,,0.26
,,MCL Credit Attributes,"50% rev-share with CRA
with minimum of $0.10 per
individual report and $0.21
per joint report",0,,0.21
,,Mortgage Rating,12 month mortgage rating,0,,0.52
,,PitchPoint BLJ,Standalone or credit report add-on,0,,0.26
,,Raw Credit Data Reissue,"Do not proactively offer. If moving forward,
requires NDA between ML and integrator",0,,0.52
,,RiskView Score,"We would charge for this, but there is no
standard price since we haven't signed anyone
up for it yet.",0,,0
,,Smart Select AutoUpgrade(Not Including Shield),"Single Bureau Cascade is free. Billed when
SmartSelect prevents an upgrade.",0,,0.16
,,SmartSelect Shield - Flex ID,Per FlexID Transaction (per individual),0,,0.11
,,SmartSelect Shield - Prequal Tier 1,"Auto Upgrade % During
Billable Period : Per Order
Amount
90%+ : $0.26
80% to <90% : $0.46
70% to <80%: $0.67
60% to <70%: $0.88
<60%: $1.08

Auto Upgrade % are calculated per customer
configured in MCL",0,,0.26
,,SmartSelect Shield - Prequal Tier 2,"Auto Upgrade % During
Billable Period : Per Order
Amount
90%+ : $0.26
80% to <90% : $0.46
70% to <80%: $0.67
60% to <70%: $0.88
<60%: $1.08

Auto Upgrade % are calculated per customer
configured in MCL",0,,0.46
,,SmartSelect Shield - Prequal Tier 3,"Auto Upgrade % During
Billable Period : Per Order
Amount
90%+ : $0.26
80% to <90% : $0.46
70% to <80%: $0.67
60% to <70%: $0.88
<60%: $1.08

Auto Upgrade % are calculated per customer
configured in MCL",0,,0.67
,,SmartSelect Shield - Prequal Tier 4,"Auto Upgrade % During
Billable Period : Per Order
Amount
90%+ : $0.26
80% to <90% : $0.46
70% to <80%: $0.67
60% to <70%: $0.88
<60%: $1.08

Auto Upgrade % are calculated per customer
configured in MCL",0,,0.88
,,SmartSelect Shield - Prequal Tier 5,"Auto Upgrade % During
Billable Period : Per Order
Amount
90%+ : $0.26
80% to <90% : $0.46
70% to <80%: $0.67
60% to <70%: $0.88
<60%: $1.08

Auto Upgrade % are calculated per customer
configured in MCL",0,,1.08
,,Targeted Lender Consumer Credit Report T1,Per report; Requires Targeted Lender addendum,0,,0.26
,,Targeted Lender Consumer Credit Report T2,Per report; Requires Targeted Lender addendum,0,,0.34
,,Targeted Lender Consumer Credit Report T3,Per report; Requires Targeted Lender addendum,0,,0.42
,,Targeted Lender Credit Attributes T1,50% rev-share with CRA with minimum of $0.06 per individual report and $0.12 per joint report. Requires Targeted Lender Addendum,0,,0.06
,,Targeted Lender Credit Attributes T2,50% rev-share with CRA with minimum of $0.06 per individual report and $0.12 per joint report. Requires Targeted Lender Addendum,0,,0.07
,,Targeted Lender Credit Attributes T3,50% rev-share with CRA with minimum of $0.06 per individual report and $0.12 per joint report. Requires Targeted Lender Addendum,0,,0.08
,,Targeted Lender LexisNexis Liens and Judgements T1,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.13
,,Targeted Lender LexisNexis Liens and Judgements T2,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.16
,,Targeted Lender LexisNexis Liens and Judgements T3,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.19
,,Targeted Lender PitchPoint BLJ T1,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.13
,,Targeted Lender PitchPoint BLJ T2,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.16
,,Targeted Lender PitchPoint BLJ T3,Standalone or credit report add-on; Requires Targeted Lender addendum,0,,0.19
,,TrendScape,"CreditXpert products collectively have a $200
monthly minimum.",0,,0.08
,,UDN - Equifax,(blank),1300,,0.52
,,UDN - Experian,(blank),4200,,0.52
,,UDN - TransUnion,(blank),1300,,0.52
,,ZipOverride,(blank),1050,,
,,ScoreNavigator Preview,(blank),0,,0.11
,,ScoreNavigator Bundle,(blank),0,,0.6
,,"ScoreNavigator Manual Simulator Tier 1 (20,000+ units)",(blank),0,,4.48
,,"ScoreNavigator Manual Simulator Tier 2 (10,000 - 19,999 units)",(blank),0,,4.79
,,"ScoreNavigator Manual Simulator Tier 3 (5,000 - 9,999 units)",(blank),0,,5.05
,,"ScoreNavigator Manual Simulator Tier 4 (1 - 4,999 units)",(blank),0,,5.3
,,"ScoreNavigator Target & Money Simulator Tier 1 (20,000+ units)",(blank),0,,3.92
,,"ScoreNavigator Target & Money Simulator Tier 2 (10,000 - 19,999 units)",(blank),0,,4.38
,,"ScoreNavigator Target & Money Simulator Tier 3 (5,000 - 9,999 units)",(blank),0,,4.53
,,"ScoreNavigator Target & Money Simulator Tier 4 (1 - 4,999 units)",(blank),0,,4.69
,,"ScoreNavigator Mortgage Action Plan Tier 1 (20,000+ units)",(blank),0,,4.48
,,"ScoreNavigator Mortgage Action Plan Tier 2 (10,000 - 19,999 units)",(blank),0,,4.79
,,"ScoreNavigator Mortgage Action Plan Tier 3 (5,000 - 9,999 units)",(blank),0,,5.05
,,"ScoreNavigator Mortgage Action Plan Tier 4 (1 - 4,999 units)",(blank),0,,5.3
,,FICO Score Mortgage Simulator,(blank),0,,12
,,Elphi - Consumer Credit Reports ,(blank),0,,2
,Add On - Employment/Income/Asset Verification,AccountChek VOA - 30 Day (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,14.45
,,AccountChek VOA - 60 Day (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,14.45
,,AccountChek VOA - 90 Day (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,18.55
,,AccountChek VOA - Direct Relationship 30 Day,"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,,1.03
,,AccountChek VOA - Direct Relationship 60 Day,"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,,1.03
,,AccountChek VOA - Direct Relationship 90 Day,"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,,1.03
,,AccountChek VOA - Direct Relationship One Time,"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,,1.03
,,AccountChek VOA - Monthly Fee (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,
,,AccountChek VOA - One Time (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,8.25
,,"Experian Finicity Order Retrieval API Tier 1 (20,000+ Pulls)","(non-aggregate bundled with manual VOE)
<= 5,000: $1.03
5,001 - 10,000: $0.98
10,001 - 15,000: $0.93
15,001 - 20,000: $0.88
> 20,000: $0.82

Pulls in Experian/Finicity records ordered outside of the MCL system for unified billing inside of MCL.",0,,0.82
,,"Experian Finicity Order Retrieval API Tier 2 (15,000 - 19,999 Pulls)",(blank),0,,0.88
,,"Experian Finicity Order Retrieval API Tier 3 (10,000 - 14,999 Pulls)",(blank),0,,0.93
,,Experian Finicity Order Retrieval API Tier 4 (5000 - 9999 Pulls),(blank),0,,0.98
,,Experian Finicity Order Retrieval API Tier 5 (Up to 4999 Pulls),(blank),0,,1.03
,,"Finicity Reseller Billing API Tier 1 (20,000+ Pulls)","(non-aggregate bundled with manual VOE)
<= 5,000: $1.03
5,001 - 10,000: $0.98
10,001 - 15,000: $0.93
15,001 - 20,000: $0.88
> 20,000: $0.82

Pulls in Experian/Finicity records ordered outside of the MCL system for unified billing inside of MCL.",0,,0.82
,,"Finicity Reseller Billing API Tier 2 (15,000 - 19,999 Pulls)",(blank),0,,0.88
,,"Finicity Reseller Billing API Tier 3 (10,000 - 14,999 Pulls)",(blank),0,,0.93
,,Finicity Reseller Billing API Tier 4 (5000 - 9999 Pulls),(blank),0,,0.98
,,Finicity Reseller Billing API Tier 5 (Up to 4999 Pulls),(blank),0,,1.03
,,Finicity VOIE,(blank),0,,
,,Manual VOD,Service Request in MCL. Billed upon completion.,0,,1.03
,,Manual VOE (MeridianLink),"(non-aggregate
bundled with
manual VOE)
<= 5,000: $1.03
5,001 - 10,000:
$0.98
10,001 - 15,000:
$0.93
15,001 - 20,000:
$0.88
> 20,000: $0.82

Only billed for completed orders.
Only billed for completed orders.",0,,1.03
,,Manual VOE (NCS),"(non-aggregate
bundled with
manual VOE)
<= 5,000: $1.03
5,001 - 10,000:
$0.98
10,001 - 15,000:
$0.93
15,001 - 20,000:
$0.88
> 20,000: $0.82

Only billed for completed orders.
Only billed for completed orders.",0,,1.03
,,Tax Transcript 3rd Party (CRA),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (Inco-Check),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (NCS),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (TaxReturnVerifications.com),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
