Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,MeridianLink Consumer Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer, Product Description ,Additional Accounting Items to Add," Logic
[e.g., 1 AND (2 OR 3)] "," Constraint #1
Dependent or Exclusion "," Constraint #1
Description (Please Explain) "," Constraint #2
Dependent or Exclusion "," Constraint #2
Description (Please Explain) "," Constraint #3
Dependent or Exclusion "," Constraint #3
Description (Please Explain) "," Constraint #4
Dependent or Exclusion "," Constraint #4
Description (Please Explain) ",Product Category
Origination- Consumer,DecisionLender4,Add On - Custom Score,TruDecision,TruDecision,Standard,TruDecision,N,13190,TCI-0319,6415.0,TCI-0316,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,DecisionLender4,Add On - Call Center,LSI,LSI,Standard,LSI,N,4320,SHARED-0136,1475.0,SHARED-0135,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,DecisionLender4,Add On - Indirect Lead,DealerTrack,DealerTrack Digital Contracting Per Vaulted Transaction,Standard,DealerTrack Digital Contracting Per Vaulted Transaction,N,0,SHARED-0404,,,0.6,SHARED-0405,,SHARED-0406,N,,,,,,,,,,,,,,,Add Ons
,DecisionLender4,,Carleton,Carleton CarCalcs,Standard,Carleton CarCalcs,N,0,,,,,,,,N,,,,,,,,,,,,,,,Add Ons
,DecisionLender4,,First Close,FirstClose Integration,Standard,FirstClose Integration,N,0,,,,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Employment/Income/Asset Verification,Experian,Experian Verify,Standard,Experian Verify,N,3300,SHARED-0423,,,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - POS,REPAY,REPAY Electronic Payments,Standard,REPAY Electronic Payments,N,3025,SHARED-0497,,,,,,,N,,,,,,,,,,,,,,,Add Ons
Verification Data Access,Mortgage Credit Link,Add On - Data Integration,MX,Automated Supplements,Standard,Automated Supplements,N,0,CRED-0522,,,1.5,CRED-0523,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - eSign,SnapDocs,SnapDocs,Standard,SnapDocs,N,5300,SHARED-0556,,,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Settlement Services,Class Valuation,Class Valuation,Standard,Class Valuation,N,3025,SHARED-0577,2215.0,SHARED-0578,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Professional Services,MeridianLink,Premium Support (Consumer),Standard,Premium Support,N,0,SHARED-0582,-1234.0,SHARED-0581,,,,,Y,,Engage Support Leadership (Toby Drury) before sharing with prospective clients.,,,,1.0,Dependent,Must be on target list approved by Support Leadership,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Indirect Lead,Origence,CUDL eContracting (Consumer),Standard,CUDL eContracting,N,10000,SHARED-0586,3855.0,SHARED-0583,4.5,SHARED-0584,,SHARED-0585,,,,,,,,,,,,,,,,Add Ons
SHARED,DecisionLender4,Add On - Indirect Lead,Origence,CUDL eContracting (DecisionLender),Standard,CUDL eContracting,N,10000,SHARED-0586,3855.0,SHARED-0583,4.5,SHARED-0584,,SHARED-0585,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Misc,Cardinal Gray,Cardinal Gray(Consumer),Standard,Cardinal Gray,N,3300,SHARED-0589,2400.0,SHARED-0590,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Lead Intake,Glide,Glide,Standard,Glide,N,10750,SHARED-0591,5300.0,SHARED-0592,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Lead In-take,Candescent,Candescent (Consumer),Standard,Candescent,N,10750,SHARED-0593,5300.0,SHARED-0594,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,DecisionLender4,Add On - Core Module,Corelation,Corelation Automatic Funding Disbursement,Standard,Corelation Automatic Funding Disbursement,N,2000,TCI-0350,2000.0,TCI-0351,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,DecisionLender4,Add On - Lead In-take,FINOFR,FINOFR Pre-Approval API (DecisionLender4),Standard,FINOFR Pre-Approval API,N,4900,SHARED-0601,2400.0,SHARED-0602,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Employment/Income/Asset Verification,Plaid,Plaid VOI,Standard,Plaid Verification of Income,N,5000,SHARED-0603,,,10.0,SHARED-0604,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Indirect Lead,RefiJet,RefiJet,Standard,RefiJet,N,3025,SHARED-0605,2215.0,SHARED-0606,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Settlement Services,Fidelity National Financial,ServiceLink (Consumer),Standard,ServiceLink (Consumer),N,3025,SHARED-0613,2215.0,SHARED-0614,,,,,N,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Core Integration,"Computer Services, Inc.",CSI NuPoint (Consumer),Standard,CSI NuPoint,N,17000,SHARED-0609,10250.0,SHARED-0610,,,,,N,,https://meridianlink365.sharepoint.com/:x:/s/TeamLPQDevsSIE/EVVbYPuz7cRMnXlkV7a-8w8Bwy6SG57uB-mWdKuVe9JM7g?e=l3pbou&isSPOFile=1,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Lead Intake,SavvyMoney,SavvyMoney Point-of-Sale,Standard,SavvyMoney Point-of-Sale,N,10750,SHARED-0624,5300.0,SHARED-0623,,,,,,,,,,,,,,,,,,,,Add Ons
