Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,LoansPQ Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer,Column2,Status
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (0-249 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 0,Y,18742,1454,,,9.26,3770,5279.0,3770.0,N,0.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (250-499 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 1,Y,23152,1454,,,8.16,3770,5279.0,3770.0,N,2040.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (500-999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 2,Y,29767,1454,,,7.06,3770,5279.0,3770.0,N,3530.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 3,Y,35280,1454,,,5.73,3770,5279.0,3770.0,N,5730.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (2000-3999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 4,Y,42997,1454,,,4.41,3770,5279.0,3770.0,N,8820.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (4000-7999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 5,Y,49612,1454,,,3.09,3770,5279.0,3770.0,N,12360.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (8000+  apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 6,Y,56227,1454,,,2.54,3770,5279.0,3770.0,N,20320.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (0-249 apps),App Commitment / Mon,XpressAccounts Module - Level 0,Y,13230,1453,,,9.26,6031,6032.0,6031.0,N,0.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (250-499 apps),App Commitment / Mon,XpressAccounts Module - Level 1,Y,16537,1453,,,8.16,6031,6032.0,6031.0,N,2040.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (500-999 apps),App Commitment / Mon,XpressAccounts Module - Level 2,Y,19845,1453,,,7.06,6031,6032.0,6031.0,N,3530.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (1000-1999 apps),App Commitment / Mon,XpressAccounts Module - Level 3,Y,24255,1453,,,5.73,6031,6032.0,6031.0,N,5730.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (2000-3999 apps),App Commitment / Mon,XpressAccounts Module - Level 4,Y,29767,1453,,,4.41,6031,6032.0,6031.0,N,8820.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (4000-7999 apps),App Commitment / Mon,XpressAccounts Module - Level 5,Y,35280,1453,,,3.09,6031,6032.0,6031.0,N,12360.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (8000+  apps),App Commitment / Mon,XpressAccounts Module - Level 6,Y,42997,1453,,,2.54,6031,6032.0,6031.0,N,20320.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (0-249 apps),App Commitment / Mon,Origination Platform - Business Module - Level 0,Y,11025,4288,,,22.05,5319,5320.0,5319.0,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (250-499 apps),App Commitment / Mon,Origination Platform - Business Module - Level 1,Y,11025,4288,,,17.64,5319,5320.0,5319.0,N,4410.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (500-999 apps),App Commitment / Mon,Origination Platform - Business Module - Level 2,Y,11025,4288,,,14.33,5319,5320.0,5319.0,N,7165.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Business Module - Level 3,Y,11025,4288,,,11.03,5319,5320.0,5319.0,N,11030.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (0-249 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 0,Y,11025,1439,,,16.54,5321,5322.0,5321.0,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (250-499 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 1,Y,11025,1439,,,13.23,5321,5322.0,5321.0,N,3307.5,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (500-999 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 2,Y,11025,1439,,,9.92,5321,5322.0,5321.0,N,4960.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 3,Y,11025,1439,,,7.72,5321,5322.0,5321.0,N,7720.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (0-249 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 0,Y,7938,2612,,,5.51,5280,5281.0,5280.0,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
