Volume Plan,Transactions Included in Plan,One Time Fee,List Price/Transaction,Monthly Minimum Commitment ($),Minimum Monthly Tier Transactions,Annualized Minimum,Minimum Annual Tier Transactions,Tier 1 Start Quantity,Tier 1 End Quantity,Tier 1 Range,Tier 1 Discount %,Tier 2 Start Quantity,Tier 2 End Quantity,Tier 2 Range,Tier 2 Discount %,Tier 3 Start Quantity,Tier 3 End Quantity,Tier 3 Range,Tier 3 Discount %,Tier 4 Start Quantity,Tier 4 End Quantity,Tier 4 Range,Tier 4 Discount %,Tier 5 Start Quantity,Tier 5 End Quantity,Tier 5 Range,Tier 5 Discount %,Tier 6 Start Quantity,Tier 6 End Quantity,Tier 6 Range,Tier 6 Discount %,Tier 7 Start Quantity,Tier 7 End Quantity,Tier 7 Range,Tier 7 Discount %,Tier 8 Start Quantity,Tier 8 End Quantity,Tier 8 Range,Tier 8 Discount %
TazWorks Software Platform Tier 6: Basic,9999.0,2995,0.42,565.0,1345.2380952380952,6780.0,16142.857142857141,10000,19999.0,9999.0,0.1,20000.0,29999.0,9999.0,0.15,30000.0,39999.0,9999.0,0.2,40000.0,49999.0,9999.0,0.25,50000.0,74999.0,24999.0,0.3,75000.0,99999.0,24999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,99999999.0,99849999.0,0.45
TazWorks Software Platform Tier 5: Professional,9999.0,3100,0.4,1225.0,3062.5,14700.0,36750.0,10000,19999.0,9999.0,0.1,20000.0,29999.0,9999.0,0.15,30000.0,39999.0,9999.0,0.2,40000.0,49999.0,9999.0,0.25,50000.0,74999.0,24999.0,0.3,75000.0,99999.0,24999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,99999999.0,99849999.0,0.45
TazWorks Software Platform Tier 4: Professional Plus,9999.0,3100,0.37,3100.0,8378.378378378378,37200.0,100540.54054054053,10000,19999.0,9999.0,0.1,20000.0,29999.0,9999.0,0.15,30000.0,39999.0,9999.0,0.2,40000.0,49999.0,9999.0,0.25,50000.0,74999.0,24999.0,0.3,75000.0,99999.0,24999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,99999999.0,99849999.0,0.45
TazWorks Software Platform Tier 3: Premium,9999.0,4700,0.32,6250.0,19531.25,75000.0,234375.0,10000,19999.0,9999.0,0.1,20000.0,29999.0,9999.0,0.15,30000.0,39999.0,9999.0,0.2,40000.0,49999.0,9999.0,0.25,50000.0,74999.0,24999.0,0.3,75000.0,99999.0,24999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,99999999.0,99849999.0,0.45
TazWorks Software Platform Tier 2: Enterprise,19999.0,7000,0.3,9250.0,30833.333333333336,111000.0,370000.0,20000,39999.0,19999.0,0.2,40000.0,59999.0,19999.0,0.25,60000.0,79999.0,19999.0,0.3,80000.0,99999.0,19999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,199999.0,49999.0,0.45,200000.0,249999.0,49999.0,0.5,250000.0,99999999.0,99749999.0,0.55
TazWorks Software Platform Tier 1: Enterprise Plus,19999.0,9500,0.28,12500.0,44642.85714285714,150000.0,535714.2857142857,20000,39999.0,19999.0,0.2,40000.0,59999.0,19999.0,0.25,60000.0,79999.0,19999.0,0.3,80000.0,99999.0,19999.0,0.35,100000.0,149999.0,49999.0,0.4,150000.0,199999.0,49999.0,0.45,200000.0,249999.0,49999.0,0.5,250000.0,99999999.0,99749999.0,0.55
Custom Tier,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Transaction Price in Tier,,,0.378,,,,0.357,,,,0.336,,,,0.315,,,,0.294,,,,0.273,,,,0.252,,,,0.231
,,,,,,,,Tier Range,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
,,,,,,,,Customer Total  in Tier,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
,,,,,,,,Transactions Remaining After Plan,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan for Calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TazWorks Software Platform Tier 6: Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transactions Included in Plan,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed Monthly Transaction Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remaining Transactions for Tiering,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pricing Based on List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Monthly Invoice Amount,4199.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Monthly Price/Transaction,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Monthly Invoice Amount,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested Monthly Price/Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Discount At Proposed Volume,1.0,*Effective discount decreases as volume increases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
