Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contract Term (Yrs),1,,Drop Down Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Product Line,MeridianLink Mortgage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Line Financials - Based on Selling Price,,,,,,,,Line Financials - Based on List Price,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Use Avg Target as List?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SOW Case #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Services:,,,,,,,,,List Price - Overrides,,,,Annual Minimums,,,,Final Selling Price,,,,Discounts/Uplifts Analysis,,,,Total ACV,SaaS ACV - No,SaaS ACV - Yes,MYR Avg ACV,OTF,YR1,TCV,,Total ACV,SaaS ACV,MYR Avg ACV,OTF,YR1,TCV,Customer Line Notes,,,,,,,,,,,Notes for Sales
,Product Name,One Time,Annual,Per Transaction,Price Method,Commitment,LPQ Discount Module,Multi Year Ramp,,One Time,Annual,Per Transaction,,Annual Amount,Annual Target,% of Target,,One Time Fees,Annual Fees,Transaction Fees,,One Time,Annual,Per Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,N,No,,,,,,0,,,,,,,,0,0,0,,0,0,0,0,,0,0,,0,0,0,,,0,,,,,,,,,,,,
,,,,,,,N,No,,,,,,0,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,N,No,,,,,,0,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,N,No,,,,,,0,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
