Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,(All),,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
MeridianLink Consumer/Opening,Add On - Address Verification,Address Verification Tier 1: 8K+ Apps,Specified app volume is monthly consumer/opening app commitment,0,23500,
,,Address Verification Tier 2: 4K - 7.99K Apps,Specified app volume is monthly consumer/opening app commitment,0,18750,
,,Address Verification Tier 3: 2K - 3.99K Apps,Specified app volume is monthly consumer/opening app commitment,0,14250,
,,Address Verification Tier 4: 1K - 1.99K Apps,Specified app volume is monthly consumer/opening app commitment,0,9500,
,,Address Verification Tier 5: 500 - 999 Apps,Specified app volume is monthly consumer/opening app commitment,0,4700,
,,Address Verification Tier 6: 0 - 499 Apps,Specified app volume is monthly consumer/opening app commitment,0,1575,
,,IST CorrectAddress,Applies to both test and production,0,,0.2
,Add On - Ancillary Service,Advanced Decisioning Additional Referral Reasons,(blank),6000,,
,,Advanced Decisioning Implementation for Existing Customer,(blank),23250,,
,,Advanced Decisioning Implementation for New Customer,Standard Decisioning has no additional fee.,23250,,
,Add On - Call Center,LSI,(blank),4600,1575,
,,Velera (Call Center - TruStage LoanLink),White label offering for Call Center,4600,1575,
,,Velera (Call Center),(blank),4600,1575,
,Add On - Core Conversion,Core Conversion (Consumer),https://meridianlink365.sharepoint.com/:x:/s/TeamLPQDevsSIE/EVVbYPuz7cRMnXlkV7a-8w8Bwy6SG57uB-mWdKuVe9JM7g?e=l3pbou&isSPOFile=1,16250,,
,,Fiserv DNA Fee (pass through from vendor) (Consumer),In addition to ML project fee,6750,,
,,JHA to JHA (Consumer),https://meridianlink365.sharepoint.com/:x:/s/TeamLPQDevsSIE/EVVbYPuz7cRMnXlkV7a-8w8Bwy6SG57uB-mWdKuVe9JM7g?e=l3pbou&isSPOFile=1,5750,,
,,Symitar Reconversion (Consumer),Update on Symitar version for additional mappings,8250,,
,Add On - Core Integration,Bankway (Metavante) (Consumer),https://meridianlink365.sharepoint.com/:x:/s/TeamLPQDevsSIE/EVVbYPuz7cRMnXlkV7a-8w8Bwy6SG57uB-mWdKuVe9JM7g?e=l3pbou&isSPOFile=1,17000,10250,
,,CLF Export Core Booking,https://meridianlink365.sharepoint.com/:x:/s/TeamLPQDevsSIE/EVVbYPuz7cRMnXlkV7a-8w8Bwy6SG57uB-mWdKuVe9JM7g?e=l3pbou&isSPOFile=1,6000,2900,
,,COCC (Consumer) Tier 1 (>$5B AUM),(blank),15500,34750,
,,COCC (Consumer) Tier 2 ($2B - $5B AUM),(blank),15500,29000,
