Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,Add Ons,,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
TazCloud,Add On - Ancillary Service,Attachments over 5 MB,(blank),0,,0.32
,,BackgroundConnect per Transaction,(blank),0,,3.55
,,Consent Identity Verification (CIV) - Fail,(blank),0,,1.24
,,Consent Identity Verification (CIV) - Success,(blank),0,,6.2
,,Credit Report,(blank),0,,0.14
,,CreditConnect per Transaction,(blank),0,,2.37
,,Form I-9 Verification,(blank),0,,0.32
,,Cerebrum Synapse Bot Tier 6: Basic (1 Bot),500 decisions per bot,0,,500
,,Cerebrum Synapse Bot Tier 6: Basic (Overage),(blank),,,1.2
,,Cerebrum Synapse Bot Tier 5: Professional (2-5 Bots),500 decisions per bot,0,,490
,,Cerebrum Synapse Bot Tier 5: Professional (Overage),(blank),,,1.18
,,Cerebrum Synapse Bot Tier 4: Professional Plus (6-10 Bots),500 decisions per bot,0,,480
,,Cerebrum Synapse Bot Tier 4: Professional Plus (Overage),(blank),,,1.16
,,Cerebrum Synapse Bot Tier 3: Premium (11-20 Bots),500 decisions per bot,0,,450
,,Cerebrum Synapse Bot Tier 3: Premium (Overage),(blank),,,1.08
,,Cerebrum Synapse Bot Tier 2: Enterprise (21-30 Bots),500 decisions per bot,0,,430
,,Cerebrum Synapse Bot Tier 2: Enterprise (Overage),(blank),,,1.04
,,Cerebrum Synapse Bot Tier 1: Enterprise Plus (31-40 Bots),500 decisions per bot,0,,390
,,Cerebrum Synapse Bot Tier 1: Enterprise Plus (Overage),(blank),,,0.94
,,Cerebrum Synapse Bot Custom (41+ Bots),500 decisions per bot,0,,-1234
,,Cerebrum Synapse Bot Custom (Overage),(blank),,,-1234
,,Cerebrum Professional Services Hour (Optional),Optional item,300,,
,Add On - Insights,Insights Activation Fee,(blank),125,,
,,Insights Monthly Fee Large Tier 1:  + 15 years,Billed monthly. Rate shown is annualized rate.,0,15000,
,,Insights Monthly Fee Large Tier 10: + 6 years,Billed monthly. Rate shown is annualized rate.,0,8844,
,,Insights Monthly Fee Large Tier 11: + 5 years,Billed monthly. Rate shown is annualized rate.,0,8160,
,,Insights Monthly Fee Large Tier 12: + 4 years,Billed monthly. Rate shown is annualized rate.,0,7476,
,,Insights Monthly Fee Large Tier 13: + 3 years,Billed monthly. Rate shown is annualized rate.,0,6792,
,,Insights Monthly Fee Large Tier 14: + 2 years,Billed monthly. Rate shown is annualized rate.,0,6108,
,,Insights Monthly Fee Large Tier 15: + 1 year,Billed monthly. Rate shown is annualized rate.,0,5424,
,,Insights Monthly Fee Large Tier 2: + 14 years,Billed monthly. Rate shown is annualized rate.,0,14316,
,,Insights Monthly Fee Large Tier 3: + 13 years,Billed monthly. Rate shown is annualized rate.,0,13632,
,,Insights Monthly Fee Large Tier 4: + 12 years,Billed monthly. Rate shown is annualized rate.,0,12948,
,,Insights Monthly Fee Large Tier 5: + 11 years,Billed monthly. Rate shown is annualized rate.,0,12264,
,,Insights Monthly Fee Large Tier 6: + 10 years,Billed monthly. Rate shown is annualized rate.,0,11580,
,,Insights Monthly Fee Large Tier 7: + 9 years,Billed monthly. Rate shown is annualized rate.,0,10896,
,,Insights Monthly Fee Large Tier 8: + 8 years,Billed monthly. Rate shown is annualized rate.,0,10212,
,,Insights Monthly Fee Large Tier 9: + 7 years,Billed monthly. Rate shown is annualized rate.,0,9528,
,,Insights Monthly Fee Medium Tier 1: 15 years,Billed monthly. Rate shown is annualized rate.,0,12276,
,,Insights Monthly Fee Medium Tier 10: + 6 years,Billed monthly. Rate shown is annualized rate.,0,6120,
,,Insights Monthly Fee Medium Tier 11:+ 5 years,Billed monthly. Rate shown is annualized rate.,0,5436,
,,Insights Monthly Fee Medium Tier 12: + 4 years,Billed monthly. Rate shown is annualized rate.,0,4752,
,,Insights Monthly Fee Medium Tier 13: + 3 years,Billed monthly. Rate shown is annualized rate.,0,4068,
,,Insights Monthly Fee Medium Tier 14: + 2 years,Billed monthly. Rate shown is annualized rate.,0,3384,
,,Insights Monthly Fee Medium Tier 15: + 1 year,Billed monthly. Rate shown is annualized rate.,0,2700,
,,Insights Monthly Fee Medium Tier 2: + 14 years,Billed monthly. Rate shown is annualized rate.,0,11592,
,,Insights Monthly Fee Medium Tier 3: + 13 years,Billed monthly. Rate shown is annualized rate.,0,10908,
,,Insights Monthly Fee Medium Tier 4: + 12 years,Billed monthly. Rate shown is annualized rate.,0,10224,
,,Insights Monthly Fee Medium Tier 5: + 11 years,Billed monthly. Rate shown is annualized rate.,0,9540,
,,Insights Monthly Fee Medium Tier 6: + 10 years,Billed monthly. Rate shown is annualized rate.,0,8856,
,,Insights Monthly Fee Medium Tier 7: + 9 years,Billed monthly. Rate shown is annualized rate.,0,8172,
,,Insights Monthly Fee Medium Tier 8: + 8 years,Billed monthly. Rate shown is annualized rate.,0,7488,
,,Insights Monthly Fee Medium Tier 9: + 7 years,Billed monthly. Rate shown is annualized rate.,0,6804,
,,Insights Monthly Fee Small Tier 1: + 15 years,Billed monthly. Rate shown is annualized rate.,0,11616,
,,Insights Monthly Fee Small Tier 10: + 6 years,Billed monthly. Rate shown is annualized rate.,0,5460,
,,Insights Monthly Fee Small Tier 11: + 5 years,Billed monthly. Rate shown is annualized rate.,0,4776,
,,Insights Monthly Fee Small Tier 12: + 4 years,Billed monthly. Rate shown is annualized rate.,0,4092,
,,Insights Monthly Fee Small Tier 13: + 3 years,Billed monthly. Rate shown is annualized rate.,0,3408,
,,Insights Monthly Fee Small Tier 14: + 2 years,Billed monthly. Rate shown is annualized rate.,0,2724,
,,Insights Monthly Fee Small Tier 15: + 1 year,Billed monthly. Rate shown is annualized rate.,0,2040,
,,Insights Monthly Fee Small Tier 2: + 14 years,Billed monthly. Rate shown is annualized rate.,0,10932,
,,Insights Monthly Fee Small Tier 3: + 13 years,Billed monthly. Rate shown is annualized rate.,0,10248,
,,Insights Monthly Fee Small Tier 4: + 12 years,Billed monthly. Rate shown is annualized rate.,0,9564,
,,Insights Monthly Fee Small Tier 5: + 11 years,Billed monthly. Rate shown is annualized rate.,0,8880,
,,Insights Monthly Fee Small Tier 6: + 10 years,Billed monthly. Rate shown is annualized rate.,0,8196,
,,Insights Monthly Fee Small Tier 7: + 9 years,Billed monthly. Rate shown is annualized rate.,0,7512,
,,Insights Monthly Fee Small Tier 8: + 8 years,Billed monthly. Rate shown is annualized rate.,0,6828,
,,Insights Monthly Fee Small Tier 9: + 7 years,Billed monthly. Rate shown is annualized rate.,0,6144,
,,TazData Connector,Quote Pricing.  Price is not actually -$1234.00.  Pricing is $720.00 for each year of data billed monthly (Max 7 years). ,6000,-1234,
,Add On - Interface,Bullhorn Access Fee,(blank),1150,,
,,Bullhorn Searches,(blank),2900,,
,,Client Implementation on ClearCompany Integration,(blank),300,,
,,Integration with Workday from Mercer using Bronze Package,(blank),11000,,
,,Integration with Workday from Mercer using Silver Package,(blank),12500,,
,Add On - Professional Services,25 Professional Services Hours,20% discount on the hourly rate,6000,,
,,TazWorks Technical Configuration Time & Materials,Approval required from TazWorks professional services team,300,,
,,Vanity URL,(blank),675,,
,,1 Professional Services Hours,(blank),300,,
,,2 Professional Services Hours,(blank),600,,
,,5 Professional Services Hours,(blank),1500,,
,,10 Professional Services Hours,10% discount on the hourly rate,2700,,
,,15 Professional Services Hours,15% discount on the hourly rate,3800,,
,Add On - QuickLease Pro,QuickLease Pro Per Applicant - Lease Plan,Subject to a $1000 monthly minimum,0,,1.73
,,QuickLease Pro Per Applicant - Standard Plan,Subject to a $1000 monthly minimum,0,,0.77
,,QuickLease Pro Per Applicant - Upload Plan,Subject to a $1000 monthly minimum,0,,1.15
,,QuickLease Pro Setup Fee,(blank),1150,,
,,QuickLease Pro Vanity URL Annual Fee,(blank),0,875,
Trade House Data,Add On - Ancillary Service,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 1 (10,000+ Monthly Searches)",Applies to THD Global Minimum,0,,0.49
,,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 2 (5000-999 Monthly Searches)",Applies to THD Global Minimum,0,,0.65
,,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 3 (1000-4999 Monthly Searches)",Applies to THD Global Minimum,0,,0.82
,,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 4 (500-999 Monthly Searches)",Applies to THD Global Minimum,0,,0.98
,,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 5 (0-499 Monthly Searches)",Applies to THD Global Minimum,0,,1.3
,,"Annual Criminal Monitoring Service from DataDivers (1-year, 1 update) Tier 6",Applies to THD Global Minimum,0,,1.63
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 1 (10,000+ Monthly Searches)",Applies to THD Global Minimum,0,,2.44
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 2 (5000-999 Monthly Searches)",Applies to THD Global Minimum,0,,3.25
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 3 (1000-4999 Monthly Searches)",Applies to THD Global Minimum,0,,4.06
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 4 (500-999 Monthly Searches)",Applies to THD Global Minimum,0,,4.88
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 5 (0-499 Monthly Searches)",Applies to THD Global Minimum,0,,6.5
,,"Monthly Criminal Monitoring Service from DataDivers (1-year, 12 updates) Tier 6",Applies to THD Global Minimum,0,,8.15
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 1 (10,000+ Monthly Searches)",Applies to THD Global Minimum,0,,0.67
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 2 (5000-9999 Monthly Searches)",Applies to THD Global Minimum,0,,0.9
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 3 (1000-4999 Monthly Searches)",Applies to THD Global Minimum,0,,1.12
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 4 (500-999 Monthly Searches)",Applies to THD Global Minimum,0,,1.34
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 5 (0-499 Monthly Searches)",Applies to THD Global Minimum,0,,1.79
,,"Semi-Annual Criminal Monitoring Service from DataDivers (1-year, 2 updates) Tier 6",Applies to THD Global Minimum,0,,2.24
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 1 (10,000+ Monthly Searches)",Applies to THD Global Minimum,0,,9.45
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 2 (5000-9999 Monthly Searches)",Applies to THD Global Minimum,0,,12.6
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 3 (1000-4999 Monthly Searches)",Applies to THD Global Minimum,0,,15.75
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 4 (500-999 Monthly Searches)",Applies to THD Global Minimum,0,,18.9
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 5 (0-499 Monthly Searches)",Applies to THD Global Minimum,0,,25.2
,,"Weekly Criminal Monitoring Service from DataDivers (1-year, 52 updates) Tier 6",Applies to THD Global Minimum,0,,31.5
,,Add Criminal Monitoring Service (1-year) from DataDivers,(blank),0,,7.15
,,Colorado State Fee for State-Level Criminal Records Lead Generator,(blank),0,,6.3
,,Colorado State Fee for Statewide Criminal Search,(blank),0,,6.3
,,Court Access Fee(s),Quote pricing.  Price is not actually -$1234.00,0,,-1234
,,Denver County Fee for State-Level Criminal Records Lead Generator,(blank),0,,4.78
,,Denver County Fee for Statewide Criminal Search,(blank),0,,4.78
,,National-Level Criminal Records Alias Lead Generator Tier 1: 10000+ monthly searches ,(blank),0,,1.02
,,National-Level Criminal Records Alias Lead Generator  Tier 2: 5000-9999 monthly searches ,(blank),0,,1.27
,,National-Level Criminal Records Alias Lead Generator Tier 3: 1000-4999 monthly searches,Must not be using THD for National-Level Criminal Records Alias Lead Generator,0,,1.78
,,National-Level Criminal Records Alias Lead Generator Tier 4: 500-999 monthly searches,Must not be using THD for National-Level Criminal Records Alias Lead Generator and doing 500+ searches per month of National-Level Criminal Records Alias Lead Generator,0,,2.03
,,National-Level Criminal Records Alias Lead Generator Tier 5: 0-499 monthly searches,Must not be using THD for National-Level Criminal Records Alias Lead Generator and doing 1000+ searches per month of National-Level Criminal Records Alias Lead Generator,0,,2.54
,,National-Level Criminal Records Alias Lead Generator Tier 6: (no discount),(blank),0,,3.05
,,National-Level Criminal Records Lead Generator Tier 1: 10000+ monthly searches ,Must not be using THD for National-Level Criminal Records Lead Generator,0,,0.77
,,National-Level Criminal Records Lead Generator Tier 2: 5000-9999 monthly searches,Must not be using THD for National-Level Criminal Records Lead Generator,0,,1.02
,,National-Level Criminal Records Lead Generator Tier 3: 1000-4999 monthly searches,Must not be using THD for National-Level Criminal Records Lead Generator,0,,1.27
,,National-Level Criminal Records Lead Generator Tier 4: 500-999 monthly searches,Must not be using THD for National-Level Criminal Records Lead Generator and doing 500+ searches per month of National-Level Criminal Records Lead Generator,0,,1.53
,,National-Level Criminal Records Lead Generator Tier 5: 0-499 monthly searches,Must not be using THD for National-Level Criminal Records Lead Generator and doing 2000+ searches per month of National-Level Criminal Records Lead Generator,0,,2.03
