Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,LoansPQ Discount Module (Y/N),One Time Fee,NSItemID - OneTime,PRODUCT CODE-One-Time-Fee,Annual Fee,NSItemID-Annual,PRODUCT CODE-Annual Fee,Per Transaction Fee,NSItemID-Transaction,PRODUCT CODE-Transaction Fee,NSItemID-Overage,PRODUCT CODE-Overage,NSItemID-Commitment,PRODUCT CODE-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer,Column2,Status
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (0-249 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 0,Y,18742,1454,CONS-0236,,,,9.26,3770,CONS-0072,5279.0,CONS-0013,3770.0,CONS-0072,N,0.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (250-499 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 1,Y,23152,1454,CONS-0236,,,,8.16,3770,,5279.0,CONS-0013,3770.0,CONS-0072,N,2040.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (500-999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 2,Y,29767,1454,CONS-0236,,,,7.06,3770,CONS-0072,5279.0,CONS-0013,3770.0,CONS-0072,N,3530.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 3,Y,35280,1454,CONS-0236,,,,5.73,3770,CONS-0072,5279.0,CONS-0013,3770.0,CONS-0072,N,5730.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (2000-3999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 4,Y,42997,1454,CONS-0236,,,,4.41,3770,,5279.0,CONS-0013,3770.0,CONS-0072,N,8820.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (4000-7999 apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 5,Y,49612,1454,CONS-0236,,,,3.09,3770,CONS-0072,5279.0,CONS-0013,3770.0,CONS-0072,N,12360.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Consumer Module (8000+  apps),App Commitment / Mon,Origination Platform - Consumer Module - Level 6,Y,56227,1454,CONS-0236,,,,2.54,3770,CONS-0072,5279.0,CONS-0013,3770.0,CONS-0072,N,20320.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (0-249 apps),App Commitment / Mon,XpressAccounts Module - Level 0,Y,13230,1453,CONS-0252,,,,9.26,6031,,6032.0,,6031.0,,N,0.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (250-499 apps),App Commitment / Mon,XpressAccounts Module - Level 1,Y,16537,1453,CONS-0252,,,,8.16,6031,,6032.0,,6031.0,,N,2040.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (500-999 apps),App Commitment / Mon,XpressAccounts Module - Level 2,Y,19845,1453,CONS-0252,,,,7.06,6031,,6032.0,,6031.0,,N,3530.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
