Unnamed: 0,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)","MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)","MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,MeridianLink Opening Module Tier 12 (up to 249 apps),MeridianLink Opening Module Tier 11 (250-499 apps),MeridianLink Opening Module Tier 10 (500-999 apps),MeridianLink Opening Module Tier 09 (1000-1999 apps),MeridianLink Opening Module Tier 08 (2000-3999 apps),MeridianLink Opening Module Tier 07 (4000-7999 apps),MeridianLink Opening Module Tier 06 (8000-9999 apps),"MeridianLink Opening Module Tier 05 (10,000-14,999 apps)","MeridianLink Opening Module Tier 04 (15,000-19,999 apps)","MeridianLink Opening Module Tier 03 (20,000-24,999 apps)","MeridianLink Opening Module Tier 02 (25,000-29,999 apps)","MeridianLink Opening Module Tier 01 (30,000+ apps)",,,,,,,,,,,,,,,,,,,,,,,
MeridianLink Consumer - Direct Consumer Module Volume Plan,Tier 12,Tier 11,Tier 10,Tier 9,Tier 8,Tier 7,Tier 6,Tier 5,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,Primary Service Category,Primary Service,,,,,Primary Service Category,(All),,,,,Primary Service Category,(All),,,
Direct Consumer Loans Setup Fee,28750,35500,45500,54000,65750,75750,85750,-1234,-1234,-1234,-1234,-1234,,,,,,,,,,,,,,,,,,,,,,,
MeridianLink Opening Setup Fee,18750,23250,28000,34000,41750,49500,60250,-1234,-1234,-1234,-1234,-1234,,,,,,,Product Of (Primary Service),Internal Product Name,Max of One Time Fee,Max of Annual Fee,Max of Per Transaction Fee,,Product Of (Primary Service),Internal Product Name,Max of One Time Fee,Max of Annual Fee,Max of Per Transaction Fee,,Product Of (Primary Service),Internal Product Name,Max of One Time Fee,Max of Annual Fee,Max of Per Transaction Fee
Monthly Minimum Commitment,0,3125,5400,8800,13500,19200,31600,33500,43500,50000,55000.00000000001,55500,,,,,,,DecisionLender4,"DecisionLender Indirect Lending - Advanced Tier 1 (15,000+ apps)",77750,,3.25,,DecisionLender4,Consumer Portal,31500,23000,,,MeridianLink Mortgage,MeridianLink Mortgage Access Tier 10 (110-134 Closed Loans/Month),5500,,39.05
Minimum Monthly Application Commitment,0,250,500,1000,2000,4000,8000,10000,15000,20000,25000,30000,,,,,,,,"DecisionLender Indirect Lending - Advanced Tier 2 (8,000-14,999 apps)",77750,,3.4,,MeridianLink Collect,MeridianLink Insight for Collect Tier 1 (>=$10B AUM,5000,9500,,,,MeridianLink Mortgage Access Tier 10 (110-134 Closed Loans/Month) without setup,0,,39.05
Per Application Fee,14.2,12.5,10.8,8.8,6.75,4.8,3.95,3.35,2.9,2.5,2.2,1.85,,,,,,,,"DecisionLender Indirect Lending - Advanced Tier 3 (4,000-7,999 apps)",77750,,3.85,,,MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies),5000,7500,,,,MeridianLink Mortgage Access Tier 11 (90-109 Closed Loans/Month),5500,,39.9
,,MeridianLink Access (up to 500 monthly applications),MeridianLink Access (up to 500 monthly applications),MeridianLink Access (up to 1000 monthly applications),MeridianLink Access (up to 2000 monthly applications),MeridianLink Access (up to 4000 monthly applications),MeridianLink Access (up to 8000 monthly applications),MeridianLink Access (Unlimited monthly applications),MeridianLink Access (Unlimited monthly applications),MeridianLink Access (Unlimited monthly applications),MeridianLink Access (Unlimited monthly applications),MeridianLink Access (Unlimited monthly applications),,,,,,,,"DecisionLender Indirect Lending - Advanced Tier 4 (3,000-3,999 apps)",77750,,4.15,,,MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies),5000,6480,,,,MeridianLink Mortgage Access Tier 11 (90-109 Closed Loans/Month) without setup,0,,39.9
MeridianLink Access - Volume Plan,,Tier 6,,Tier 5,Tier 4,Tier 3,Tier 2,,,Tier 1,,,,,,,,,,"DecisionLender Indirect Lending - Advanced Tier 5 (2,500-2,999 apps)",77750,,4.45,,,MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies),5000,5880,,,,MeridianLink Mortgage Access Tier 12 (75-89 Closed Loans/Month),5500,,40.5
MeridianLink Access Setup Fee,>,>,11250,11250,11250,11250,11250,>,>,>,>,11250,,,,,,,,DecisionLender Indirect Lending - Essentials Tier 10 (175-249 apps),11750,,7.65,,,MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies),5000,5880,,,,MeridianLink Mortgage Access Tier 12 (75-89 Closed Loans/Month) without setup,0,,40.5
MeridianLink Access Annual Fee,>,>,12000,18250,24250,30500,36500,>,>,>,>,46250,,,,,,,,DecisionLender Indirect Lending - Essentials Tier 11 (100-174 apps),11750,,8.25,,,MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies),5000,5000,,,,MeridianLink Mortgage Access Tier 13 (60-74 Closed Loans/Month),4800,,41.35
Direct Consumer Module Monthly App Volume,>,>,up to 500,"up to 1,000","up to 2,000","up to 4,000","up to 8,000",>,>,>,>,Unlimited,,,,,,,,"DecisionLender Indirect Lending - Select Tier 1 (15,000+ apps)",46750,,3.25,,,MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies,5000,5000,,,,MeridianLink Mortgage Access Tier 13 (60-74 Closed Loans/Month) without setup,0,,41.35
,MeridianLink Consumer - Business Module Tier 4 (up to 249 apps),MeridianLink Consumer - Business Module Tier 3 (250-499 apps),MeridianLink Consumer - Business Module Tier 2 (500-999 apps),MeridianLink Consumer - Business Module Tier 1 (1000-1999 apps),,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Select Tier 2 (8,000-14,999 apps)",46750,,3.4,,,MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies),5000,5000,,,,MeridianLink Mortgage Access Tier 14 (45-59 Closed Loans/Month),4800,,42.4
MeridianLink Consumer - Business Module Volume Plan,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Select Tier 3 (4,000-7,999 apps)",46750,,3.85,,,MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies),5000,5000,,,,MeridianLink Mortgage Access Tier 14 (45-59 Closed Loans/Month) without setup,0,,42.4
Business Loans Setup Fee,17000,17000,17000,17000,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Select Tier 4 (3,000-3,999 apps)",46750,,4.15,,,MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies),5000,5000,,,,MeridianLink Mortgage Access Tier 15 (30-44 Closed Loans/Month),4800,,44.1
Monthly Minimum Commitment,0,6550,10700,16350.000000000002,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Select Tier 5 (2,500-2,999 apps)",46750,,4.45,,MeridianLink Consumer/Opening,MeridianLink Access (up to 1000 monthly applications),11250,18250,,,,MeridianLink Mortgage Access Tier 15 (30-44 Closed Loans/Month) without setup,0,,44.1
Minimum Monthly Application Commitment,0,250,500,1000,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Select Tier 6 (1,000-2,499 apps)",46750,,5.05,,,MeridianLink Access (up to 4000 monthly applications),11250,30500,,,,MeridianLink Mortgage Access Tier 16 (15-29 Closed Loans/Month),4800,,47.1
Per Application Fee,32.65,26.2,21.4,16.35,,,,,,,,,,,,,,,,DecisionLender Indirect Lending - Select Tier 7 (750-999 apps),46750,,5.75,,,MeridianLink Access (up to 8000 monthly applications),11250,36500,,,,MeridianLink Mortgage Access Tier 16 (15-29 Closed Loans/Month) without setup,0,,47.1
,MeridianLink Consumer - Home Equity Module Tier 4 (up to 249 apps),MeridianLink Consumer - Home Equity Module Tier 3 (250-499 apps),MeridianLink Consumer - Home Equity Module Tier 2 (500-999 apps),MeridianLink Consumer - Home Equity Module Tier 1 (1000-1999 apps),,,,,,,,,,,,,,,,DecisionLender Indirect Lending - Select Tier 8 (500-749 apps),46750,,5.85,,,MeridianLink Access (Unlimited monthly applications),11250,46250,,,,MeridianLink Mortgage Access Tier 17 (10-14 Closed Loans/Month),4800,,49
MeridianLink Consumer - Home Equity Module Volume Plan,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,,,,,,,,,,DL4 - Consumer Module,31500,,13.9,,,MeridianLink Access (up to 500 monthly applications),11250,12000,,,,MeridianLink Mortgage Access Tier 17 (10-14 Closed Loans/Month) without setup,0,,49
Home Equity Loans Setup Fee,17000,17000,17000,17000,,,,,,,,,,,,,,,,DL4 - Home Equity Module,23500,,22.65,,,MeridianLink Access (up to 2000 monthly applications),11250,24250,,,,MeridianLink Mortgage Access Tier 01 (>1200 Closed Loans/Month),16000,,31
Monthly Minimum Commitment,0,5012.5,7575,11800,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 01 (15,000+ apps)",11750,,3.25,,MeridianLink Mortgage,MeridianLink Insight For Mortgage Tier 02 (900-1199 Closed Loans/Mon),5000,75200,,,,MeridianLink Mortgage Access Tier 01 (>1200 Closed Loans/Month) without setup,0,,31
Minimum Monthly Application Commitment,0,250,500,1000,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 02 (8,000-14,999 apps)",11750,,3.4,,,MeridianLink Insight For Mortgage Tier 03 (675-899 Closed Loans/Mon),5000,58200,,,,MeridianLink Mortgage Access Tier 02 (900-1199 Closed Loans/Month),13500,,32.05
Per Application Fee,25.1,20.05,15.15,11.8,,,,,,,,,,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 03 (4,000-7,999 apps)",11750,,3.85,,,MeridianLink Insight For Mortgage Tier 04 (525-674 Closed Loans/Mon),5000,46500,,,,MeridianLink Mortgage Access Tier 02 (900-1199 Closed Loans/Month) without setup,0,,32.05
,MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps),MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps),MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps),MeridianLink Consumer - Indirect Lending Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Indirect Lending Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Indirect Lending Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Indirect Lending Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Indirect Lending Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Indirect Lending Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Indirect Lending Module Tier 03 (20,000-24,999  apps)","MeridianLink Consumer - Indirect Lending Module Tier 02 (25,000-29,999  apps)","MeridianLink Consumer - Indirect Lending Module Tier 01 (30,000+ apps)",,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 04 (3,000-3,999)",11750,,4.15,,,MeridianLink Insight For Mortgage Tier 05 (400-524 Closed Loans/Mon),5000,36500,,,,MeridianLink Mortgage Access Tier 03 (675-899 Closed Loans/Month),13500,,32.9
MeridianLink Consumer - Indirect Lending Module Volume Plan Combo,Tier 12,Tier 11,Tier 10,Tier 9,Tier 8,Tier 7,Tier 6,Tier 5,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 05 (2,500-2,999 apps)",11750,,4.45,,,MeridianLink Insight For Mortgage Tier 06 (300-399 Closed Loans/Mon),5000,28300,,,,MeridianLink Mortgage Access Tier 03 (675-899 Closed Loans/Month) without setup,0,,32.9
Indirect Lending Loans Setup Fee,12250,12250,12250,12250,12250,12250,12250,-1234,-1234,-1234,-1234,-1234,,,,,,,,"DecisionLender Indirect Lending - Essentials Tier 06 (1,000-2,499 apps)",11750,,5.05,,,MeridianLink Insight For Mortgage Tier 07 (225-299 Closed Loans/Mon),5000,21900,,,,MeridianLink Mortgage Access Tier 04 (525-674 Closed Loans/Month),10750,,33.75
Monthly Minimum Commitment,0,1650,2900,5000,8200,14800,26400,30000,39000,47000,51249.99999999999,52500,,,,,,,,DecisionLender Indirect Lending - Essentials Tier 07 (750-999 apps),11750,,5.75,,,MeridianLink Insight For Mortgage Tier 08 (170-224 Closed Loans/Mon),5000,17100,,,,MeridianLink Mortgage Access Tier 04 (525-674 Closed Loans/Month) without setup,0,,33.75
Minimum Monthly Application Commitment,0,250,500,1000,2000,4000,8000,10000,15000,20000,25000,30000,,,,,,,,DecisionLender Indirect Lending - Essentials Tier 08 (500-749 apps),11750,,5.85,,,MeridianLink Insight For Mortgage Tier 09 (135-169 Closed Loans/Mon),5000,13900,,,,MeridianLink Mortgage Access Tier 05 (400-524 Closed Loans/Month),10750,,34.6
Per Application Fee,8.2,6.6,5.8,5,4.1,3.7,3.3,3,2.6,2.35,2.05,1.75,,,,,,,,DecisionLender Indirect Lending - Essentials Tier 09 (250-499 apps),11750,,6.7,,,MeridianLink Insight For Mortgage Tier 10 (110-134 Closed Loans/Mon),5000,11600,,,,MeridianLink Mortgage Access Tier 05 (400-524 Closed Loans/Month) without setup,0,,34.6
,Standalone MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 09 (1000-1999 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 08 (2000-3999 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 07 (4000-7999 apps),Standalone MeridianLink Consumer - Indirect Lending Module Tier 06 (8000-9999 apps),"Standalone MeridianLink Consumer - Indirect Lending Module Tier 05 (10,000-14,999 apps)","Standalone MeridianLink Consumer - Indirect Lending Module Tier 04 (15,000-19,999 apps)","Standalone MeridianLink Consumer - Indirect Lending Module Tier 03 (20,000-24,999  apps)","Standalone MeridianLink Consumer - Indirect Lending Module Tier 02 (25,000-29,999  apps)","Standalone MeridianLink Consumer - Indirect Lending Module Tier 01 (30,000+ apps) ",,,,,,,LDAP,LDAP Setup,3700,,,,,MeridianLink Insight For Mortgage Tier 11 (90-109 Closed Loans/Mon),5000,9700,,,,MeridianLink Mortgage Access Tier 06 (300-399 Closed Loans/Month),10750,,35.45
MeridianLink Consumer - Indirect Lending Module Volume Plan Standalone,Tier 12,Tier 11,Tier 10,Tier 9,Tier 8,Tier 7,Tier 6,Tier 5,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,MeridianLink Collect,MeridianLink Collect Tier 1 (>=$10B AUM) Billed Monthly,58500,100704,,,,MeridianLink Insight For Mortgage Tier 12 (75-89 Closed Loans/Mon),5000,8300,,,,MeridianLink Mortgage Access Tier 06 (300-399 Closed Loans/Month) without setup,0,,35.45
Indirect Lending Loans Setup Fee,28750,35500,45500,54000,65750,75750,85750,-1234,-1234,-1234,-1234,-1234,,,,,,,,MeridianLink Collect Tier 1 (>=$10B AUM) Billed Annually,58500,100750,,,,MeridianLink Insight For Mortgage Tier 13 (60-74 Closed Loans/Mon),5000,6800,,,,MeridianLink Mortgage Access Tier 07 (225-299 Closed Loans/Month),8000,,36.5
Monthly Minimum Commitment,0,1650,2900,5000,8200,14800,26400,30000,39000,47000,51249.99999999999,52500,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies) Billed Monthly,42500,79500,,,,MeridianLink Insight For Mortgage Tier 14 (45-59 Closed Loans/Mon),5000,5000,,,,MeridianLink Mortgage Access Tier 07 (225-299 Closed Loans/Month) without setup,0,,36.5
Minimum Monthly Application Commitment,0,250,500,1000,2000,4000,8000,10000,15000,20000,25000,30000,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies) Billed Annually,42500,79500,,,,MeridianLink Insight For Mortgage Tier 15 (30-44 Closed Loans/Mon),5000,5000,,,,MeridianLink Mortgage Access Tier 08 (170-224 Closed Loans/Month),8000,,37.55
Per Application Fee,8.2,6.6,5.8,5,4.1,3.7,3.3,3,2.6,2.35,2.05,1.75,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies) Billed Monthly,34500,68688,,,,MeridianLink Insight For Mortgage Tier 16 (15-29 Closed Loans/Mon),5000,5000,,,,MeridianLink Mortgage Access Tier 08 (170-224 Closed Loans/Month) without setup,0,,37.55
,DecisionLender Indirect Lending - Essentials Tier 11 (100-174 apps),DecisionLender Indirect Lending - Essentials Tier 10 (175-249 apps),DecisionLender Indirect Lending - Essentials Tier 09 (250-499 apps),DecisionLender Indirect Lending - Essentials Tier 08 (500-749 apps),DecisionLender Indirect Lending - Essentials Tier 07 (750-999 apps),"DecisionLender Indirect Lending - Essentials Tier 06 (1,000-2,499 apps)","DecisionLender Indirect Lending - Essentials Tier 05 (2,500-2,999 apps)","DecisionLender Indirect Lending - Essentials Tier 04 (3,000-3,999)","DecisionLender Indirect Lending - Essentials Tier 03 (4,000-7,999 apps)","DecisionLender Indirect Lending - Essentials Tier 02 (8,000-14,999 apps)","DecisionLender Indirect Lending - Essentials Tier 01 (15,000+ apps)",,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies) Billed Annually,34500,68750,,,,MeridianLink Insight For Mortgage Tier 17 (10-14 Closed Loans/Mon),5000,5000,,,,MeridianLink Mortgage Access Tier 09 (135-169 Closed Loans/Month),5500,,38.2
Decision Lender 4 - Indirect Lending Module Volume Plan - Essentials Plan,Tier 11,Tier 10,Tier 9,Tier 8,Tier 7,Tier 6,Tier 5,Tier 4,Tier3,Tier 2,Tier 1,,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies) Billed Monthly,31250,62328,,,,MeridianLink Insight For Mortgage Tier 01 (1200+ Closed Loans/Mon),5000,97100,,,,MeridianLink Mortgage Access Tier 09 (135-169 Closed Loans/Month) without setup,0,,38.2
Indirect Lending Loans Setup Fee,11750,11750,11750,11750,11750,11750,11750,11750,11750,11750,11750,,,,,,,,,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies) Billed Annually,31250,62500,,,Grand Total,,31500,97100,,,Grand Total,,16000,,49
Monthly Minimum Commitment,825,1338.75,1675,2925,4312.5,5050,11125,12450.000000000002,15400,27200,48750,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies) Billed Monthly,31250,62328,,,,,,,,,,,,,
Minimum Monthly Application Commitment,100,175,250,500,750,1000,2500,3000,4000,8000,15000,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies) Billed Annually,31250,62500,,,,,,,,,,,,,
Per Application Fee,8.25,7.65,6.7,5.85,5.75,5.05,4.45,4.15,3.85,3.4,3.25,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies) Billed Monthly,24000,50088,,,,,,,,,,,,,
,DecisionLender Indirect Lending - Select Tier 8 (500-749 apps),DecisionLender Indirect Lending - Select Tier 7 (750-999 apps),"DecisionLender Indirect Lending - Select Tier 6 (1,000-2,499 apps)","DecisionLender Indirect Lending - Select Tier 5 (2,500-2,999 apps)","DecisionLender Indirect Lending - Select Tier 4 (3,000-3,999 apps)","DecisionLender Indirect Lending - Select Tier 3 (4,000-7,999 apps)","DecisionLender Indirect Lending - Select Tier 2 (8,000-14,999 apps)","DecisionLender Indirect Lending - Select Tier 1 (15,000+ apps)",,,,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies) Billed Annually,24000,50250,,,,,,,,,,,,,
Decision Lender 4 - Indirect Lending Module Volume Plan - Select Plan,Tier 8,Tier 7,Tier 6,Tier 5,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies) Billed Monthly,16750,37848,,,,,,,,,,,,,
Indirect Lending Loans Setup Fee,46750,46750,46750,46750,46750,46750,46750,46750,,,,,,,,,,,,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies) Billed Annually,16750,38000,,,,,,,,,,,,,
Monthly Minimum Commitment,2925,4312.5,5050,11125,12450.000000000002,15400,27200,48750,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies) Billed Monthly,16750,37848,,,,,,,,,,,,,
Minimum Monthly Application Commitment,500,750,1000,2500,3000,4000,8000,15000,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies) Billed Annually,16750,38000,,,,,,,,,,,,,
Per Application Fee,5.85,5.75,5.05,4.45,4.15,3.85,3.4,3.25,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies) Billed Monthly,11250,22260,,,,,,,,,,,,,
,"DecisionLender Indirect Lending - Advanced Tier 5 (2,500-2,999 apps)","DecisionLender Indirect Lending - Advanced Tier 4 (3,000-3,999 apps)","DecisionLender Indirect Lending - Advanced Tier 3 (4,000-7,999 apps)","DecisionLender Indirect Lending - Advanced Tier 2 (8,000-14,999 apps)","DecisionLender Indirect Lending - Advanced Tier 1 (15,000+ apps)",,,,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies) Billed Annually,11250,22500,,,,,,,,,,,,,
Decision Lender 4 - Indirect Lending Module Volume Plan - Advanced Plan,Tier 5,Tier 4,Tier 3,Tier 2,Tier 1,,,,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies) Billed Monthly,6750,16704,,,,,,,,,,,,,
Indirect Lending Loans Setup Fee,77750,77750,77750,77750,77750,,,,,,,,,,,,,,,MeridianLink Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies) Billed Annually,6750,16750,,,,,,,,,,,,,
Monthly Minimum Commitment,11125,12450.000000000002,15400,27200,48750,,,,,,,,,,,,,,MeridianLink Consumer/Opening,MeridianLink Consumer - Business Module Tier 1 (1000-1999 apps),17000,,16.35,,,,,,,,,,,,
Minimum Monthly Application Commitment,2500,3000,4000,8000,15000,,,,,,,,,,,,,,,MeridianLink Consumer - Business Module Tier 2 (500-999 apps),17000,,21.4,,,,,,,,,,,,
Per Application Fee,4.45,4.15,3.85,3.4,3.25,,,,,,,,,,,,,,,MeridianLink Consumer - Business Module Tier 3 (250-499 apps),17000,,26.2,,,,,,,,,,,,
,MeridianLink Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 1 (>=$10B AUM) Billed Annually,,,,,,,,,,MeridianLink Consumer - Business Module Tier 4 (up to 249 apps),17000,,32.65,,,,,,,,,,,,
MeridianLink Collect - Annual Billing Volume Plan,Tier 4 (Level 3),Tier 4 (Level 2),Tier 4 (Level 1),Tier 3 (Level 3),Tier 3 (Level 2),Tier 3 (Level 1),Tier 2 (Level 3),Tier 2 (Level 2),Tier 2 (Level 1),Tier 1,,,,,,,,,,MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),45500,,10.8,,,,,,,,,,,,
Collect Setup Fee,6750,11250,16750,16750,24000,31250,31250,34500,42500,58500,,,,,,,,,,MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),35500,,12.5,,,,,,,,,,,,
Collect Annual Fee,16750,22500,38000,38000,50250,62500,62500,68750,79500,100750,,,,,,,,,,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),28750,,14.2,,,,,,,,,,,,
Deliquency Amounts,<$1M​,<$2M & >=$1M​,>=$2M​,<$2M​,<$3M & >=$2M​,>=$3M​,<$3M​,<$4M & >=$3M​,>=$4M​,,,,,,,,,,,MeridianLink Consumer - Home Equity Module Tier 1 (1000-1999 apps),17000,,11.8,,,,,,,,,,,,
